Wavelength (nm)	Transmission (%)
762.00	0.98769199848175
763.00	0.98806399106979
764.00	0.98853999376297
765.00	0.9885870218277
766.00	0.98943597078323
767.00	0.98921698331833
768.00	0.9892470240593
769.00	0.98837202787399
770.00	0.98820298910141
771.00	0.98870402574539
772.00	0.98906397819519
773.00	0.98900097608566
774.00	0.98851299285889
775.00	0.98754799365997
776.00	0.98686999082565
777.00	0.98640298843384
778.00	0.98698097467422
779.00	0.98698002099991
780.00	0.98605000972748
781.00	0.98600602149963
782.00	0.98475801944733
783.00	0.98517400026321
784.00	0.98403298854828
785.00	0.98434102535248
786.00	0.98372399806976
787.00	0.98269999027252
788.00	0.98374801874161
789.00	0.98325401544571
790.00	0.98278099298477
791.00	0.98166698217392
792.00	0.98120898008347
793.00	0.97969800233841
794.00	0.97946101427078
795.00	0.97904902696609
796.00	0.97908097505569
797.00	0.97760999202728
798.00	0.9760929942131
799.00	0.97700899839401
800.00	0.97814697027206
801.00	0.97878700494766
802.00	0.9787250161171
803.00	0.97965997457504
804.00	0.97986000776291
805.00	0.97938799858093
806.00	0.97959899902344
807.00	0.97916698455811
808.00	0.97901898622513
809.00	0.97915601730347
810.00	0.98086601495743
811.00	0.9815080165863
812.00	0.98094701766968
813.00	0.98038798570633
814.00	0.97861802577972
815.00	0.97776800394058
816.00	0.97561699151993
817.00	0.97206902503967
818.00	0.96829199790955
819.00	0.96412497758865
820.00	0.9594389796257
821.00	0.95748400688171
822.00	0.95192897319794
823.00	0.94762700796127
824.00	0.94341599941254
825.00	0.93891102075577
826.00	0.93481999635696
827.00	0.93382501602173
828.00	0.92965602874756
829.00	0.92801797389984
830.00	0.92795300483704
831.00	0.9305260181427
832.00	0.92828500270844
833.00	0.9286670088768
834.00	0.93009698390961
835.00	0.93100798130035
836.00	0.93094599246979
837.00	0.93119698762894
838.00	0.93082499504089
839.00	0.92845898866653
840.00	0.92424201965332
841.00	0.91852402687073
842.00	0.91133898496628
843.00	0.90169602632523
844.00	0.88924199342728
845.00	0.87465697526932
846.00	0.85725402832031
847.00	0.83997601270676
848.00	0.82142299413681
849.00	0.80245500802994
850.00	0.7834780216217
851.00	0.76431900262833
852.00	0.74812799692154
853.00	0.7308070063591
854.00	0.71526801586151
