rowID,meanFWHM,stdevFWHM,minFWHM,maxFWHM,meanPvLeak,stdevPvLeak,minPvLeak,maxPvLeak,X,Y,Z,capLogical,venLogical,artLogical,midLogical,preLogical,pstLogical,midCapLogical,preCapLogical,pstCapLogical,midVenLogical,preVenLogical,pstVenLogical,midArtLogical,preArtLogical,pstArtLogical,group
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_27,6.96950875599008,0.0641599872985937,6.86801113295362,7.05414966472452,0.734604489365298,0.0042166095781341,0.726794457123693,0.739499497206471,384.0,338.0,135.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_28,4.25399579996195,0.233120882478348,3.97872373926242,4.62458853332531,0.744208218465543,0.0013080437498005,0.741743289920177,0.745699182519763,228.5,40.0,30.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_29,4.65271402891537,0.282783368699157,4.22727082069739,5.02382589125559,0.742479822923586,0.0019329121924387,0.739179152415804,0.744566618538557,367.0,396.5,25.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_30,3.19873496842908,0.620987762489551,2.23670259676761,4.00910102381627,0.737229565383408,0.0044786762419653,0.726996236129668,0.741766494575944,387.5,191.5,35.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_31,3.4918425597091,0.237112381754716,3.09331495076,3.74912770967043,0.738242474433497,0.0025816221258524,0.734885727627408,0.742751157948226,42.5,297.0,35.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_32,4.54463822303286,0.0568981895194979,4.46816660290053,4.66707682850535,0.741673646670212,0.0016396252492838,0.738746840545941,0.744068739935429,157.5,408.0,35.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_33,4.54600444977084,0.102423468361689,4.35019399098798,4.65032681800319,0.73820417627402,0.0019595912371247,0.733728652209957,0.740150643428769,292.5,450.5,25.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_35,3.6560947054647,0.0627193732471334,3.55868451065204,3.74994773327882,0.738261761994364,0.0035127875458306,0.732275537680558,0.742693537369119,326.5,100.0,60.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_36,6.55042323965931,0.0990624094596733,6.38983578744509,6.75046865342367,0.725742980132361,0.007761745872073,0.709867328881004,0.73381198570869,306.5,357.5,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_37,6.54473487992306,0.0964675515184094,6.37453429376074,6.69721689786312,0.744139153767972,0.0013199138751028,0.741787533783038,0.745834466260589,291.0,345.0,85.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_38,5.26975807703988,0.116702563052776,5.04035471506206,5.43566645517281,0.746143130365837,0.0007791755187447,0.744938672153563,0.747047603389003,243.5,283.5,90.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_39,5.15356687630568,0.0884473117055475,5.03024659923166,5.29244263172849,0.745023294067815,0.0015062254289595,0.742425904192179,0.746821178835924,368.5,254.0,150.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m15_roi1_00001_ROIs_classA_01,7.03995746366836,0.0904482381234393,6.89908280521421,7.16454444105154,0.746397120500511,0.0011266381104721,0.744636645507381,0.747830080207736,127.0,471.5,15.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m15_roi1_00001_ROIs_classA_02,4.56213374005276,0.229635420418257,4.15027034163001,4.86554002229584,0.743392571884184,0.0031121030616345,0.736445171558123,0.746964617631563,100.0,127.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m15_roi1_00001_ROIs_classA_03,3.75596481900442,0.0888358731288947,3.61217163171899,3.84834961279484,0.745024020625564,0.0013638826870475,0.743231304321086,0.747099523604273,170.5,344.5,15.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
