rowID,meanFWHM,stdevFWHM,minFWHM,maxFWHM,meanFeFv,stdevFeFv,minFeFv,maxFeFv,X,Y,Z,capLogical,venLogical,group
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_27,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_28,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_29,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_30,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_31,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_32,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_33,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_34,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_35,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_36,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_37,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_38,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_39,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA_01,3.97769735682921,0.0853322856133375,3.7785086184284,4.06941237028576,0.338031438923926,0.0623170353952858,0.280135921707153,0.47990618211927,415.0,117.5,20.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA_02,2.94206185778933,0.0326490818501524,2.861179685986,2.98027180563075,0.69781464783756,0.133827972703295,0.523878930256581,0.976608025401564,373.0,500.5,20.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA_03,5.01204156057066,0.100301325328406,4.84170129757851,5.10999387152256,0.372118854411122,0.106673040302721,0.230655683002869,0.513685098713075,227.5,123.0,30.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA_04,5.93672730707726,0.0727352034406956,5.82378690452158,6.08862587623196,1.06375853095138,0.258438223934587,0.679688373206539,1.44915390570418,259.5,240.0,25.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA_05,5.16001533355676,0.0787633407150769,5.02429739069814,5.26507612336964,0.284117380790087,0.0783190523919427,0.168046464693034,0.370403741176302,152.0,369.5,40.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA_06,4.40099941970225,0.0588554545081357,4.32276525869307,4.48541283163477,1.00871981106271,0.0960114389153392,0.913572029837315,1.21436310498729,148.5,332.0,25.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA_07,3.62829493384865,0.134503311240559,3.45171941847777,3.81755408623743,1.85740129759908,0.252372385656342,1.56091624964837,2.27630901491238,117.0,360.5,55.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA_08,5.45618346619261,0.0681045870791707,5.3607316482463,5.54515787489089,1.06125374666423,0.0607961786601027,0.971789042063382,1.19263136596328,443.5,225.5,50.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA_09,6.64978219467453,0.228725240263043,6.28796003273562,6.99180913849764,0.482138248999401,0.105031717892506,0.3434451813204,0.62547417050818,159.0,235.0,70.0,0.0,1.0,A
ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA_10,8.90438058172969,0.539712666414703,8.36740884724479,9.9070440801807,0.28671947100905,0.0922171065391252,0.102735980184305,0.416380216602498,476.5,51.0,80.0,0.0,1.0,A
ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA_11,,,,,,,,,62.0,287.5,50.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA_12,,,,,,,,,86.0,231.5,50.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA_13,4.63158107950316,0.0933792017347255,4.47794994679665,4.78672002950068,0.759962494678897,0.0645559892524437,0.68866850384495,0.875559452804339,190.5,221.5,20.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA_14,7.69932373154473,0.185226438115477,7.51279116161589,7.99530147598665,0.416809195105337,0.037025162658897,0.356315774419631,0.469014853755432,187.5,248.5,20.0,1.0,0.0,A
